date,open,high,low,close,volume
19980102,3.31397,3.9509800000000004,3.2823599999999997,3.9509800000000004,24947201.1
19980105,4.011769999999999,4.02635,3.69325,3.8902,22344145.08
19980106,3.87561,4.984319999999999,3.5862800000000004,4.60502,63150252.55
19980107,4.57341,4.6804,4.20871,4.24032,36978255.52
19980108,4.24032,4.52965,4.11875,4.39107,27687622.95
19980109,4.40808,4.71201,4.25491,4.43726,31624883.38
19980112,4.24032,4.52965,4.16495,4.46886,18300352.79
19980113,4.52965,4.7727900000000005,4.4980400000000005,4.76306,22182098.34
19980114,4.83357,4.84816,4.6804,4.787380000000001,20340344.31
19980115,4.66581,4.80196,4.52965,4.66581,19157062.33
19980116,4.72659,4.72659,4.54424,4.55883,8643666.36
19980120,4.6342,4.69499,4.52965,4.619619999999999,8546191.97
19980121,4.55883,4.6342,4.512630000000001,4.59044,6622588.92000001
19980122,4.54424,4.80196,4.52965,4.69499,11570811.37
19980123,4.71201,4.787380000000001,4.6804,4.74118,8400594.77000001
19980126,4.72659,4.75577,4.57341,4.71201,4971260.96
19980127,4.66581,4.787380000000001,4.619619999999999,4.6804,3926584.60000001
19980128,4.66581,4.71201,4.52965,4.6804,5436841.15000001
19980129,4.60502,4.6512199999999995,4.4980400000000005,4.512630000000001,7310675.58
19980130,4.45185,4.59044,4.43726,4.46886,5542952.31000001
19980202,4.4980400000000005,4.4980400000000005,4.22573,4.286519999999999,19367643.36
19980203,4.3011,4.52965,4.3011,4.45185,13530202.79
19980204,4.39107,4.4980400000000005,4.376469999999999,4.45185,6066938.85
19980205,4.43726,4.4980400000000005,4.376469999999999,4.46886,8240194.16000001
19980206,4.46886,4.54424,4.43726,4.48346,7246104.87000001
19980209,4.46886,4.74118,4.46886,4.6804,17131869.19
19980210,4.6512199999999995,4.75577,4.6342,4.71201,15058553.12
19980211,4.74118,4.74118,4.59044,4.6342,6720475.16000001
19980212,4.6512199999999995,4.72659,4.6342,4.69499,6950384.6
19980213,4.66581,4.83357,4.619619999999999,4.75577,7517552.12000001
19980217,4.74118,4.80196,4.74118,4.7727900000000005,6082562.91
19980218,4.75577,5.04511,4.75577,4.99161,17387690.47
19980219,5.07671,5.0913,4.86275,4.984319999999999,12324713.2
19980220,4.984319999999999,4.9989,4.81656,4.84816,11469641.28
19980223,4.89435,5.2590699999999995,4.86275,5.16668,16722225.59
19980224,5.18126,5.1982800000000005,5.04511,5.16668,15811627.94
19980225,5.18126,5.53138,5.0913,5.42439,24962001.51
19980226,5.42439,5.72832,5.31984,5.69914,20668128.64
19980227,5.66754,5.80612,5.485180000000001,5.759930000000001,18415086.09
19980302,5.72832,5.72832,5.40981,5.5022,13980566.94
19980303,5.31984,5.63836,5.2590699999999995,5.63836,11370927.19
19980304,5.56299,6.01766,5.56299,5.956869999999999,29189245.2
19980305,5.65294,5.89609,5.6237699999999995,5.849880000000001,22448195.85
19980306,5.80612,5.956869999999999,5.68456,5.92769,22245433.6
19980309,5.77451,5.91067,5.4706,5.5022,20243275.61
19980310,5.592169999999999,5.956869999999999,5.57757,5.8815,24480383.84
19980311,6.11005,6.36777,5.9714599999999995,6.35318,41535347.06
19980312,6.35318,6.55012,6.2146,6.51852,25414830.14
19980313,6.625489999999999,6.625489999999999,6.38236,6.5963199999999995,19741915.16
19980316,6.5963199999999995,6.625489999999999,6.36777,6.457730000000001,14065704.19
19980317,6.44315,6.48934,6.2924,6.41397,14771883.89
19980318,6.32158,6.53554,6.32158,6.53554,9308721.44
19980319,6.53554,6.55012,6.457730000000001,6.48934,5507583.59000001
19980320,6.48934,6.53554,6.32158,6.41397,7319315.27
19980323,6.30699,6.38236,5.98848,6.33616,13704589.12
19980324,6.41397,6.80785,6.38236,6.79327,22041026.03
19980325,6.71789,6.74707,6.41397,6.6109100000000005,13234479.15
19980326,6.50393,6.564710000000001,6.42855,6.47475,6852910.18000001
19980327,6.47475,6.64009,6.41397,6.5793,8914703.42
19980330,6.50393,6.6717,6.50393,6.6717,8785973.6
19980331,6.6717,6.76165,6.625489999999999,6.70087,9427588.92000001
19980401,6.6717,6.68628,6.5793,6.68628,6514832.98000001
19980402,6.64009,6.6717,6.55012,6.625489999999999,6692099.20000001
19980403,6.5963199999999995,6.625489999999999,6.51852,6.5793,7051565.83000001
19980406,6.564710000000001,6.564710000000001,6.36777,6.38236,10872040.57
19980407,6.27537,6.32158,6.049259999999999,6.23161,10241939.6
19980408,6.13922,6.1708300000000005,6.00306,6.07843,8008225.54000001
19980409,6.093030000000001,6.2924,6.07843,6.23161,5743250.63000001
19980413,6.23161,6.48934,6.07843,6.42855,10148580.33
19980414,6.41397,6.625489999999999,6.41397,6.55012,11755074.27
19980415,6.6109100000000005,6.68628,6.47475,6.6571,19591787.22
19980416,7.11177,7.204160000000001,6.8540399999999995,6.9756100000000005,61659368.42
19980417,6.9440100000000005,6.9440100000000005,6.732480000000001,6.77867,21176090.87
19980420,6.71789,7.172560000000001,6.70087,7.05098,18217669.27
19980421,7.065580000000001,7.0826,6.9294199999999995,7.02181,12198449.51
19980422,6.9902,7.05098,6.71789,6.732480000000001,9615133.9
19980423,6.6717,7.05098,6.6109100000000005,6.71789,16350010.16
19980424,6.74707,6.868639999999999,6.68628,6.77867,6936816.99000001
19980427,6.50393,6.74707,6.50393,6.74707,14603673.72
19980428,6.77867,6.80785,6.38236,6.55012,8410054.74000001
19980429,6.55012,6.6717,6.50393,6.5793,6457250.26000001
19980430,6.6571,6.71789,6.5793,6.64009,5726800.53000001
19980501,6.68628,6.868639999999999,6.53554,6.80785,6354428.93
19980504,7.02181,7.172560000000001,7.02181,7.05098,19306355.69
19980505,7.11177,7.26495,7.0826,7.2187600000000005,14322346.49
19980506,7.26495,7.4011,7.11177,7.3695,31325064.61
19980507,7.430280000000001,7.4473,7.26495,7.32573,18781961.51
19980508,7.3087100000000005,7.4157,7.27953,7.3087100000000005,9150374.48
19980511,7.508089999999999,7.69044,7.47647,7.508089999999999,23788597.93
19980512,7.430280000000001,7.47647,7.27953,7.32573,9124875.19
19980513,7.3087100000000005,7.49107,7.204160000000001,7.38652,10901646.48
19980514,7.38652,7.4011,7.233339999999999,7.3087100000000005,5567628.98000001
19980515,7.3087100000000005,7.38652,7.11177,7.187139999999999,9338748.77000001
19980518,7.1433800000000005,7.187139999999999,6.900239999999999,6.9294199999999995,8268570.64000001
19980519,7.0364,7.15797,7.00479,7.126360000000001,7683716.79000001
19980520,7.204160000000001,7.26495,6.9902,7.187139999999999,6660837.89000001
19980521,7.187139999999999,7.2187600000000005,6.96103,7.02181,4555034.77000001
19980522,6.9902,6.9902,6.64009,6.77867,9594980.32
19980526,6.822439999999999,6.868639999999999,6.47475,6.50393,11175562.95
19980527,6.24621,6.51852,6.23161,6.48934,12978660.13
19980528,6.50393,6.77867,6.50393,6.625489999999999,10571795.82
19980529,6.68628,6.70087,6.42855,6.47475,7402806.63000001
19980601,6.44315,6.71789,6.23161,6.38236,10799238.26
19980602,6.42855,6.64009,6.32158,6.50393,6253251.91
19980603,6.5963199999999995,6.625489999999999,6.36777,6.39695,5172791.75
19980604,6.47475,6.53554,6.27537,6.53554,5106161.89
19980605,6.53554,6.625489999999999,6.41397,6.51852,4297154.43
19980608,6.564710000000001,6.732480000000001,6.51852,6.6109100000000005,4409849.65000001
19980609,6.6571,6.9294199999999995,6.6571,6.8540399999999995,9571950.08
19980610,6.80785,7.05098,6.71789,6.822439999999999,8094593.25000001
19980611,6.8540399999999995,6.96103,6.76165,6.76165,6212125.34000001
19980612,6.71789,7.02181,6.564710000000001,6.822439999999999,6993160.33
19980615,6.625489999999999,6.868639999999999,6.625489999999999,6.71789,4572310.67000001
19980616,6.732480000000001,6.839460000000001,6.64009,6.77867,3824996.67000001
19980617,6.80785,6.9440100000000005,6.79327,6.822439999999999,6757904.31
19980618,6.74707,6.822439999999999,6.6109100000000005,6.6571,4292221.51000001
19980619,6.6571,6.6717,6.50393,6.5793,4261785.7
19980622,6.564710000000001,6.70087,6.50393,6.6571,4811268.21000001
19980623,6.6717,6.839460000000001,6.625489999999999,6.77867,8107343.6
19980624,6.74707,6.96103,6.64009,6.868639999999999,9648860.14
19980625,6.9440100000000005,7.00479,6.88322,6.9440100000000005,6499203.68000001
19980626,6.9294199999999995,6.96103,6.74707,6.839460000000001,3816357.45000001
19980629,6.868639999999999,7.00479,6.822439999999999,6.9756100000000005,5584901.83
19980630,6.96103,7.00479,6.839460000000001,6.9902,4400800.14000001
19980701,7.02181,7.29413,6.9294199999999995,7.272239999999999,9980768.96000001
19980702,7.2187600000000005,7.3087100000000005,7.05098,7.065580000000001,9912498.76
19980706,7.172560000000001,7.3695,7.0826,7.3695,8728805.99
19980707,7.38652,7.508089999999999,7.29413,7.4473,8302294.73000001
19980708,7.47647,8.00895,7.4618899999999995,7.9165600000000005,32751829.06
19980709,8.00895,8.17671,7.64425,7.71962,19862010.51
19980710,7.8265899999999995,7.93358,7.71962,7.7804,10046167.23
19980713,7.765810000000001,8.29829,7.75122,8.2375,23744588.39
19980714,8.25208,8.266680000000001,8.05514,8.14511,13186358.88
19980715,8.1913,8.434439999999999,8.14511,8.38824,20841711.12
19980716,9.21005,9.27084,8.692169999999999,9.11766,86039344.8400001
19980717,9.05687,9.05687,8.79915,8.9353,21309339.41
19980720,8.88911,8.90612,8.63138,8.81374,13434779.81
19980721,8.78456,8.996089999999999,8.61679,8.64597,11469226.08
19980722,8.495230000000001,8.662989999999999,8.32746,8.50981,9750446.29999999
19980723,8.46362,8.662989999999999,8.44903,8.50981,8560997.3
19980724,8.6022,8.63138,8.22048,8.434439999999999,9820364.83000001
19980727,8.32746,8.48063,8.08432,8.35907,7533592.77000001
19980728,8.281260000000001,8.41986,8.023539999999999,8.14511,7902524.49
19980729,8.20589,8.72378,8.1913,8.54142,15792711.49
19980730,8.70675,8.9353,8.63138,8.87452,12517192.95
19980731,8.90612,8.9353,8.41986,8.41986,6252427.12000001
19980803,8.32746,8.64597,8.08432,8.50981,10508044.39
19980804,8.63138,8.75295,8.266680000000001,8.31287,10295406.0
19980805,8.20589,8.75295,8.14511,8.75295,15422139.22
19980806,8.524410000000001,8.9499,8.48063,8.9353,15105030.54
19980807,9.04228,9.08848,8.75295,8.92072,10241939.33
19980810,8.82832,9.239230000000001,8.81374,9.224639999999999,16507120.63
19980811,9.17844,9.96868,9.08848,9.48236,62700731.36
19980812,9.664719999999999,9.954080000000001,9.59907,9.740089999999999,24253763.39
